ID,Stadtname,Einwohner,PositionSued,PositionOst,Spieler,SpielerURL,Klan,KlanURL,Holz,Eisen,Sake,Nahrung,Performance
1579,Chigaki,3.000,190,154, Jimmu,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=5747,Ochiru no Sakura,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=517,100%,100%,100%,100%,400%
898,Akushu,28,240,21,,,,,130%,65%,75%,115%,385%
1945,Kanashitsu,22,251,68,,,,,75%,95%,100%,125%,395%
1122,Kyukyue,28,34,287,,,,,95%,90%,50%,115%,350%
988,Hyonima,28,197,164, Niwa Nagahide,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7637,Niwa Klan,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=791,100%,100%,100%,100%,400%
1118,Fugoro,21,245,70,,,,,125%,125%,60%,85%,395%
1478,ETnachHause,1.105,41,267,,,,,125%,95%,55%,85%,360%
2026,peng,1.105,197,175, Shimozuma Nakayuki,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7659,Tsugekitai Yamato,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=664,130%,135%,75%,85%,425%
756,Akigara,26,196,147,,,,,145%,100%,55%,85%,385%
1713,Kyuakunra,25,183,177,,,,,120%,110%,75%,100%,405%
703,Shimeshu,28,78,227, aamarbanmarin,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=6873,,,100%,100%,100%,100%,400%
246,ARRRR,2.349,282,52, Sandokan,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7565,ARRRRRR,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=806,160%,95%,75%,100%,430%
148,Aiyaru,24,242,61,,,,,90%,105%,90%,95%,380%
1065,Gumazayama,24,193,70,,,,,110%,55%,65%,115%,345%
1767,Siedlung,0,29,239,,,,,145%,105%,65%,90%,405%
1092,Namiu,3.000,90,230, Chuluun,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7533,Die Goldene Horde,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=747,80%,155%,110%,125%,470%
926,Shechido,27,224,107,,,,,100%,230%,55%,70%,455%
1309,Aikyunohe,2.896,205,167, Shansi Dori,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=5205,Kage no Takeda,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=788,100%,100%,100%,100%,400%
1442,Minasaki,105,98,204,,,,,80%,75%,95%,110%,360%
718,Aobenohe,25,253,39,,,,,160%,90%,65%,90%,405%
1844,Utsomaki,959,205,122, Takamori,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=2080,Black Ninja,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=5,115%,125%,80%,115%,435%
133,Sapindoma,1.105,217,121, Kontaro,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7457,Kage no Takeda,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=788,95%,185%,65%,95%,440%
1123,Hamagushu,1.105,73,246, Myn Bala Ulaanbaatar,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7532,Die Goldene Horde,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=747,105%,105%,85%,100%,395%
2147,Shimabashi,0,199,196,,,,,110%,80%,100%,100%,390%
592,Asanido,25,52,236,,,,,135%,85%,55%,105%,380%
1241,Zheng1,1.105,221,146, Zheng Chenggong,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7684,ARRRRRR,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=806,120%,120%,80%,115%,435%
96,Niamiba,24,226,137,,,,,100%,190%,55%,80%,425%
1134,Miyyoshikata,21,221,144,,,,,75%,160%,70%,95%,400%
1070,Kankori,3.000,30,265, Makkuro,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7521,Shinsengumi-kai,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=777,100%,100%,100%,100%,400%
984,Hiroamoka,3.000,37,262, Jorge Alvares,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7656,Daibutsu,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=817,155%,125%,85%,100%,465%
896,Narukyashu,25,123,240,,,,,145%,55%,80%,120%,400%
1704,Koizuima,21,175,170,,,,,125%,140%,60%,80%,405%
175,Kyuoshaki,28,210,130,,,,,120%,125%,55%,90%,390%
2077,Shikyaoka,24,25,247,,,,,105%,60%,70%,90%,325%
2267,Matusho,24,190,206,,,,,80%,55%,100%,125%,360%
339,Gumazari,22,142,180,,,,,135%,85%,75%,105%,400%
1126,Asamiaki,28,170,199,,,,,100%,70%,120%,140%,430%
1735,Presente,1.105,239,52, Souru Sushi,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7517,Viva Portugal,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=814,125%,125%,90%,115%,455%
1866,Siedlung,0,178,184,,,,,170%,90%,80%,115%,455%
2186,Hyogoshu,1.105,79,189, Ragnar Lothbrok,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7675,Besokende,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=815,120%,90%,50%,125%,385%
1017,Toshikaido,87,208,112,,,,,145%,110%,60%,85%,400%
980,Sagushima,22,205,61,,,,,155%,90%,55%,85%,385%
1634,Siedlung,1.105,256,41, MTbob,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7639,Fairy Tail,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=794,85%,135%,100%,115%,435%
1726,Moshikaoka,24,233,31,,,,,170%,55%,80%,120%,425%
1319,Tokanshikai,26,107,226,,,,,125%,60%,70%,135%,390%
1068,Asasuki,22,28,276,,,,,85%,130%,75%,90%,380%
504,Takonpora,21,23,284,,,,,75%,140%,105%,115%,435%
1183,Saichiatsu,25,232,50,,,,,155%,105%,70%,90%,420%
934,Mieosashu,26,252,30,,,,,70%,110%,75%,125%,380%
135,Tsuamuba,24,237,23,,,,,105%,90%,55%,85%,335%
704,Kumegoawa,344,206,118, Felix,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=5301,Uechi Ryu,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=679,100%,100%,100%,100%,400%
2102,Okunata,3.000,280,57, Jumbrunja,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=5835,Shinsengumi-kai,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=777,100%,100%,100%,100%,400%
2286,Matoshima,3.000,74,244, Muunokhoi,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7519,Die Goldene Horde,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=747,100%,100%,100%,100%,400%
436,Hakuoro,1.105,220,128, Ashikaga Juro,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=3974,Takama no Hara,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=722,125%,95%,70%,100%,390%
815,Mieritsu,27,213,107,,,,,75%,125%,70%,100%,370%
2008,Matamayama,999,176,200, Bankimoto,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7679,Kage no Takeda,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=788,125%,125%,70%,100%,420%
287,Suerte,1.105,226,124, Ignacio de Loyola,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7674,Viva Portugal,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=814,125%,150%,95%,90%,460%
1904,Takunku,24,242,59,,,,,125%,105%,75%,90%,395%
1576,Hyonma,23,219,58,,,,,65%,70%,120%,125%,380%
1738,Takonhikatsu,1.105,105,220, Toji Yasu,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=3558,Fushi no Hito,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=809,150%,90%,70%,105%,415%
1328,Seaki,1.070,207,166, Cao Ying,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7660,Konoe Shidan,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=812,180%,100%,90%,95%,465%
1411,Kai,1.105,42,228, Takeda Nobuyoshi,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=6643,Kage no Takeda,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=788,100%,100%,100%,100%,400%
1267,Okenmioka,1.105,173,154, Souru Sushi,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7517,Viva Portugal,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=814,125%,95%,55%,115%,390%
578,Shi ne,1.105,94,216, Abe no Ichikou,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=3848,Ochiru no Sakura,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=517,130%,55%,115%,140%,440%
1997,Kyariri,27,114,229,,,,,165%,65%,65%,90%,385%
781,Saiazaku,20,127,220,,,,,110%,60%,90%,100%,360%
413,Kagenma,27,203,199,,,,,95%,100%,85%,115%,395%
1898,Ibatsuima,1.105,208,182, Abe no Ichikou,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=3848,Ochiru no Sakura,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=517,150%,95%,85%,105%,435%
2184,Uwatsuhama,26,287,45,,,,,75%,60%,70%,155%,360%
645,Ullondaki,25,253,77,,,,,95%,65%,70%,135%,365%
1199,Ehiamiki,26,30,263,,,,,145%,60%,95%,110%,410%
881,Nagoa,26,171,203,,,,,100%,100%,90%,120%,410%
482,Kupoawa,41,16,250,,,,,105%,100%,90%,105%,400%
2049,Siedlung,0,222,46,,,,,130%,65%,105%,130%,430%
126,Oitazora,25,259,36,,,,,115%,90%,90%,115%,410%
1506,Hiroaro,3.000,17,254, Amari Kazuma,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=6435,Kage no Takeda,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=788,125%,135%,80%,100%,440%
1372,Togoatsu,2.851,209,161, Shansi Dori,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=5205,Kage no Takeda,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=788,145%,135%,70%,95%,445%
1275,Aoigaki,2.558,180,200, Asano Katsumoto,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7692,Shinsengumi-kai,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=777,100%,135%,90%,115%,440%
620,Mara,1.105,206,111, Abe no Ichikou,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=3848,Ochiru no Sakura,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=517,140%,170%,55%,80%,445%
355,Takunshikari,24,23,252, Musa,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=3055,IGAs HASSENSHI,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=312,100%,100%,100%,100%,400%
1269,Niioshiu,1.105,198,74, Yasunari Kyoya,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7495,Shinsengumi-kai,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=777,55%,165%,115%,120%,455%
211,Uwapoma,24,188,165,,,,,125%,120%,50%,80%,375%
36,Fukushoro,26,30,272, Zhao Zilong,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=3060,IGAs HASSENSHI,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=312,100%,100%,100%,100%,400%
722,Pakitashi,1.105,191,145, Sanada Kenji,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7670,Konoe Shidan,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=812,75%,105%,60%,115%,355%
336,Ullobeyama,25,245,72,,,,,120%,100%,70%,90%,380%
76,Chikoa,1.105,28,267, Makkuro,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7521,Shinsengumi-kai,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=777,140%,60%,105%,110%,415%
37,for free,1.105,161,180, Sligon,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7714,Besokende,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=815,110%,70%,140%,145%,465%
971,Yokyate,25,213,141,,,,,145%,65%,70%,105%,385%
1896,Aikoku,1.105,172,201, Imagawa Yoshimoto,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7730,,,80%,125%,105%,125%,435%
993,Gumusuoka,24,161,192,,,,,100%,70%,105%,125%,400%
448,Hamakuatsu,24,224,135,,,,,80%,125%,70%,85%,360%
956,Fukushawa,76,194,201,,,,,100%,80%,95%,135%,410%
1036,Shushenohe,23,228,25,,,,,80%,105%,85%,100%,370%
337,Narekoido,24,210,11,,,,,75%,50%,65%,165%,355%
389,Totsumama,24,194,68,,,,,140%,65%,60%,95%,360%
1892,Mokoyama,1.105,186,169, Jorge Alvares,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7656,Daibutsu,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=817,145%,100%,85%,115%,445%
2179,Narobeoka,25,161,220,,,,,75%,80%,95%,135%,385%
1861,Hokasatsu,23,136,224,,,,,130%,75%,95%,110%,410%
473,Okazaki,89,221,90,,,,,50%,95%,55%,135%,335%
314,Fukinkohama,1.421,116,231, Isazuno Yamato,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7628,Kage no Takeda,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=788,90%,100%,125%,130%,445%
2170,Gifizuo,24,230,38,,,,,60%,125%,65%,85%,335%
216,Uwausheya,24,235,26,,,,,170%,105%,65%,90%,430%
1700,Narukuoka,25,26,268,,,,,95%,65%,105%,125%,390%
406,Ullushatsu,1.105,220,122, Ashikaga Juro,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=3974,Takama no Hara,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=722,55%,185%,100%,100%,440%
1626,Korio,1.105,204,159, Abe no Ichikou,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=3848,Ochiru no Sakura,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=517,120%,110%,90%,105%,425%
780,Kyuagihama,26,28,274,,,,,85%,100%,100%,110%,395%
